Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City,RISK_STATE_RANK
1,Hays,106D1,38211,38153,30.210039,-97.97049,0.001520195,Minimal Direct Wildfire Impacts,Austin,0.422
4,Hays,106D11NBSR,5498,5391,30.08481869,-97.8205031,0.019847895,Minimal Direct Wildfire Impacts,Buda,0.423
6,Hays,106D14NBSR,18543,18966,30.00795497,-97.86313676,-0.022303069,Minimal Direct Wildfire Impacts,Kyle,0.458
7,Hays,106D15SBSR,6292,5719,29.8770525,-97.9062685,0.1001923413184123,Minimal Direct Wildfire Impacts,San Marcos,0.346
8,Hays,106D17SBSR,17584,16387.728588496906,30.01008,-97.862877,0.072998,Minimal Direct Wildfire Impacts,Kyle,0.458
9,Hays,106D18NBSR,7410,4786,29.950038,-97.878592,0.5482657751776013,Minimal Direct Wildfire Impacts,Kyle,0.458
10,Hays,106D19SBSR,10385,4707,29.95210762,-97.87946025,1.206288506479711,Minimal Direct Wildfire Impacts,Kyle,0.458
11,Hays,106D2,17203,12199,30.179413,-97.928753,0.4101975571768178,Minimal Direct Wildfire Impacts,Austin,0.422
12,Hays,106D20NBSR,9096,7863,29.985773,-97.87226,0.156810378,Minimal Direct Wildfire Impacts,Kyle,0.458
13,Hays,106D21SBSR,6402,5193,29.985856,-97.873478,0.2328134026574234,Minimal Direct Wildfire Impacts,Kyle,0.458
14,Hays,106D22SBSR,16570,10953,30.083214,-97.822397,0.512827536,Minimal Direct Wildfire Impacts,Buda,0.423
15,Hays,106D23SBSR,9313,8679.419719328462,29.88496603,-97.92080355,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
16,Hays,106D24NBSR,7877,7341.113404,29.88474883,-97.91896435,0.072998,Minimal Direct Wildfire Impacts,San Marcos,0.346
17,Hays,106D3,6342,5098,30.127634,-98.006039,0.2440172616712436,Minimal Direct Wildfire Impacts,Buda,0.423
19,Hays,106D6,18410,10970,29.816946,-97.943554,0.6782133090246126,Minimal Direct Wildfire Impacts,San Marcos,0.346
20,Hays,106D8,5533,5498,29.819362,-98.010383,0.006365951,Minimal Direct Wildfire Impacts,San Marcos,0.346
21,Hays,106D8A,20774,17525,29.862116,-97.964741,0.1853922967189729,Minimal Direct Wildfire Impacts,San Marcos,0.346
22,Hays,106D9,6400,5855,29.933737,-98.141726,0.093082835,Minimal Direct Wildfire Impacts,Wimberley,0.734
23,Hays,106D9A,7718,6839,30.004252,-98.082169,0.1285275625091387,Moderate to High,Wimberley,0.734
25,Hays,106E258A,126784,109862,29.926113,-97.89112,0.1540296007718774,Moderate to High,San Marcos,0.346
26,Hays,106E258ANBSR,3070,2630,29.925078,-97.890999,0.1673003802281368,Moderate to High,San Marcos,0.346
27,Hays,106E258ASBSR,5130,4666,29.926938,-97.891216,0.099442778,Moderate to High,San Marcos,0.346
28,Hays,106E260A,8503,7706,29.998712,-98.087238,0.1034259018946275,Moderate to High,Wimberley,0.734
30,Hays,106E327,32018,35247,30.206782,-97.9771,-0.091610634,Moderate to High,Dripping Springs,0.66
31,Hays,106H1,34325,27144,29.892949,-97.915206,0.2645520188623637,Minimal Direct Wildfire Impacts,San Marcos,0.346
32,Hays,106H10,6337,15594,30.075619,-97.821637,-0.593625753,Minimal Direct Wildfire Impacts,Buda,0.423
36,Hays,106H13,20676,21493,29.978191,-97.865735,-0.038012376,Low to Moderate,Kyle,0.458
37,Hays,106H136,8138,7584.357100386022,30.034898,-97.887825,0.072998,Low to Moderate,Kyle,0.458
39,Hays,106H14,38510,37444,29.881949,-97.919015,0.028469181,Low to Moderate,San Marcos,0.346
40,Hays,106H14A,17500,22217,29.884023,-97.92355,-0.212314894,Low to Moderate,San Marcos,0.346
