DIST_NBR,DIST_NM,CNTY_NBR,CNTY_NM,TRFC_STATN_ID,CATEGORY,ACTIVE,AADT_RPT_YEAR,AADT_RPT_QTY,AADT_RPT_HIST_01_QTY,AADT_RPT_HIST_02_QTY,AADT_RPT_HIST_03_QTY,AADT_RPT_HIST_04_QTY,AADT_RPT_HIST_05_QTY,AADT_RPT_HIST_06_QTY,AADT_RPT_HIST_07_QTY,AADT_RPT_HIST_08_QTY,AADT_RPT_HIST_09_QTY,AADT_RPT_HIST_10_QTY,AADT_RPT_HIST_11_QTY,AADT_RPT_HIST_12_QTY,AADT_RPT_HIST_13_QTY,AADT_RPT_HIST_14_QTY,AADT_RPT_HIST_15_QTY,AADT_RPT_HIST_16_QTY,AADT_RPT_HIST_17_QTY,AADT_RPT_HIST_18_QTY,AADT_RPT_HIST_19_QTY,ON_ROAD,COUNT_CYCLE,LATITUDE,LONGITUDE,OBJECTID_1,geometry
14,Austin,106,Hays,106A4501,TOLL,1,2023,18661,17497.0,16824.0,,,,,,,,,,,,,,,,,,TL0045,1,30.132125,-97.861144,490038,POINT (-97.86114399999998 30.132125000000002)
14,Austin,106,Hays,106D1,ANNUAL ACR,1,2023,38211,33197.0,36131.0,32065.0,38631.0,38153.0,33564.0,35990.0,34064.0,25666.0,27817.0,28000.0,25000.0,,,,,,,,US0290,1,30.210039,-97.97049,490131,POINT (-97.97048999999998 30.21003899999999)
14,Austin,106,Hays,106D10,ANNUAL ACR,1,2023,1107,1191.0,,871.0,820.0,844.0,701.0,869.0,934.0,594.0,650.0,660.0,700.0,,,,,,,,RM2325,1,30.104693,-98.268465,490132,POINT (-98.268465 30.104693000000005)
14,Austin,106,Hays,106D11,ANNUAL ACR,1,2023,3409,3201.0,2712.0,2150.0,2685.0,2265.0,1932.0,2100.0,1993.0,1462.0,1567.0,1500.0,1500.0,,,,,,,,RM0165,1,30.16488,-98.245704,490133,POINT (-98.24570399999999 30.164880000000004)
14,Austin,106,Hays,106D11NBSR,ANNUAL ACR,1,2023,5498,5621.0,5241.0,4360.0,5189.0,5391.0,,,,,,,,,,,,,,,IH0035,1,30.08481869,-97.8205031,490134,POINT (-97.8205031 30.084818689999995)
14,Austin,106,Hays,106D13,ANNUAL ACR,1,2023,4022,3342.0,3912.0,2388.0,3799.0,3487.0,2938.0,2910.0,2722.0,2187.0,2246.0,3600.0,3200.0,,,,,,,,RM0150,1,30.091688,-98.013969,490135,POINT (-98.013969 30.091687999999994)
14,Austin,106,Hays,106D14NBSR,ANNUAL ACR,1,2023,18543,21678.0,20211.0,13607.0,20011.0,18966.0,,,,,,,,,,,,,,,IH0035,1,30.00795497,-97.86313676,490136,POINT (-97.86313676 30.00795497)
14,Austin,106,Hays,106D15SBSR,ANNUAL ACR,1,2023,6292,5077.0,5540.0,3192.0,5485.0,5719.0,5495.0,5603.0,99.0,99.0,99.0,99.0,,,,,,,,,SH0021,1,29.8770525,-97.9062685,490137,POINT (-97.9062685 29.877052499999998)
14,Austin,106,Hays,106D17SBSR,ANNUAL ACR,1,2023,17584,17976.0,16759.0,12135.0,16593.0,,,,,,,,,,,,,,,,IH0035,1,30.01008,-97.862877,490138,POINT (-97.86287700000001 30.010080000000002)
14,Austin,106,Hays,106D18NBSR,ANNUAL ACR,1,2023,7410,6108.0,5695.0,4227.0,5639.0,4786.0,,,,,,,,,,,,,,,IH0035,1,29.950038,-97.878592,490139,POINT (-97.878592 29.950037999999992)
14,Austin,106,Hays,106D19SBSR,ANNUAL ACR,1,2023,10385,4964.0,4628.0,4009.0,4582.0,4707.0,,,,,,,,,,,,,,,IH0035,1,29.95210762,-97.87946025,490140,POINT (-97.87946025 29.952107619999992)
14,Austin,106,Hays,106D2,ANNUAL ACR,1,2023,17203,16283.0,18137.0,7168.0,13703.0,12199.0,11472.0,12233.0,12286.0,10988.0,10224.0,10200.0,8000.0,,,,,,,,RM1826,1,30.179413,-97.928753,490142,POINT (-97.92875300000001 30.179413)
14,Austin,106,Hays,106D20NBSR,ANNUAL ACR,1,2023,9096,8022.0,7479.0,5749.0,7405.0,7863.0,,,,,,,,,,,,,,,IH0035,1,29.985773,-97.87226,490143,POINT (-97.87226 29.985772999999995)
14,Austin,106,Hays,106D21SBSR,ANNUAL ACR,1,2023,6402,5198.0,4846.0,3967.0,4798.0,5193.0,,,,,,,,,,,,,,,IH0035,1,29.985856,-97.873478,490144,POINT (-97.87347800000002 29.98585599999999)
14,Austin,106,Hays,106D22SBSR,ANNUAL ACR,1,2023,16570,17977.0,16760.0,13473.0,16594.0,10953.0,,,,,,,,,,,,,,,IH0035,1,30.083214,-97.822397,490145,POINT (-97.822397 30.083213999999998)
14,Austin,106,Hays,106D23SBSR,ANNUAL ACR,1,2023,9313,9521.0,8877.0,8789.0,,,,,,,,,,,,,,,,,IH0035,1,29.88496603,-97.92080355,490146,POINT (-97.92080355 29.884966029999987)
14,Austin,106,Hays,106D24NBSR,ANNUAL ACR,1,2023,7877,12210.0,11384.0,11271.0,,,,,,,,,,,,,,,,,IH0035,1,29.88474883,-97.91896435,490147,POINT (-97.91896435 29.88474883)
14,Austin,106,Hays,106D3,ANNUAL ACR,1,2023,6342,2651.0,,2570.0,5482.0,5098.0,5098.0,5486.0,5048.0,4175.0,4494.0,4300.0,3300.0,,,,,,,,RM0967,1,30.127634,-98.006039,490148,POINT (-98.006039 30.12763399999999)
14,Austin,106,Hays,106D4,ANNUAL ACR,1,2023,30570,25771.0,33456.0,22751.0,27084.0,20402.0,17631.0,17333.0,15014.0,13408.0,13429.0,12900.0,12800.0,,,,,,,,FM1626,1,30.124837,-97.865564,490149,POINT (-97.865564 30.124837)
14,Austin,106,Hays,106D6,ANNUAL ACR,1,2023,18410,15508.0,,13091.0,14294.0,10970.0,12851.0,11768.0,12525.0,10788.0,12043.0,10800.0,10500.0,,,,,,,,SH0123,1,29.816946,-97.943554,490152,POINT (-97.94355400000002 29.816945999999987)
14,Austin,106,Hays,106D8,ANNUAL ACR,1,2023,5533,11821.0,,5006.0,7122.0,5498.0,5833.0,5150.0,4451.0,3746.0,4658.0,4200.0,4200.0,,,,,,,,FM2439,1,29.819362,-98.010383,490153,POINT (-98.010383 29.819362000000012)
14,Austin,106,Hays,106D8A,ANNUAL ACR,1,2023,20774,18019.0,,14798.0,16499.0,17525.0,17522.0,18634.0,17887.0,13840.0,14342.0,12200.0,14900.0,,,,,,,,FM2439,1,29.862116,-97.964741,490154,POINT (-97.964741 29.862115999999997)
14,Austin,106,Hays,106D9,ANNUAL ACR,1,2023,6400,4037.0,,4201.0,5855.0,5855.0,3590.0,4462.0,3926.0,3823.0,4407.0,3500.0,3300.0,,,,,,,,RM0032,1,29.933737,-98.141726,490155,POINT (-98.141726 29.933737)
14,Austin,106,Hays,106D9A,ANNUAL ACR,1,2023,7718,6849.0,6792.0,3722.0,6211.0,6839.0,5113.0,6445.0,6492.0,4644.0,5000.0,5200.0,4300.0,,,,,,,,RM3237,1,30.004252,-98.082169,490156,POINT (-98.08216899999998 30.00425200000001)
14,Austin,106,Hays,106E256A,ANNUAL ACR,1,2023,12325,2764.0,,2066.0,10412.0,9897.0,8857.0,8584.0,9108.0,7849.0,9423.0,8100.0,7200.0,7500.0,7700.0,7900.0,8500.0,8400.0,8670.0,7300.0,SH0021,1,29.914625,-97.851367,490158,POINT (-97.851367 29.91462499999999)
14,Austin,106,Hays,106E258A,ANNUAL ACR,1,2023,126784,139209.0,129521.0,114701.0,128877.0,109862.0,102532.0,101848.0,95994.0,100449.0,98028.0,97540.0,97320.0,96170.0,74170.0,80760.0,81870.0,69000.0,70880.0,69000.0,IH0035,1,29.926113,-97.89112,490159,POINT (-97.89111999999999 29.926112999999994)
14,Austin,106,Hays,106E258ANBSR,ANNUAL ACR,1,2023,3070,3138.0,2926.0,2350.0,2897.0,2630.0,2433.0,3950.0,3864.0,2505.0,2452.0,,,,,,,,,,IH0035,1,29.925078,-97.890999,490160,POINT (-97.890999 29.925078)
14,Austin,106,Hays,106E258ASBSR,ANNUAL ACR,1,2023,5130,5244.0,4889.0,3730.0,4841.0,4666.0,5021.0,4083.0,4000.0,8795.0,5876.0,,,,,,,,,,IH0035,1,29.926938,-97.891216,490161,POINT (-97.891216 29.926938)
14,Austin,106,Hays,106E260A,ANNUAL ACR,1,2023,8503,7599.0,7775.0,4642.0,7644.0,7706.0,7320.0,7640.0,7588.0,5523.0,6374.0,6100.0,5200.0,5800.0,5400.0,6000.0,6800.0,6100.0,5930.0,5500.0,RM3237,1,29.998712,-98.087238,490162,POINT (-98.087238 29.998712)
14,Austin,106,Hays,106E264A,ANNUAL ACR,1,2023,5174,4524.0,4699.0,3469.0,4652.0,4228.0,3720.0,4117.0,3780.0,3072.0,2916.0,2800.0,2300.0,2600.0,2200.0,1900.0,1800.0,1800.0,1820.0,1700.0,RM0150,1,30.135587,-98.032495,490163,POINT (-98.032495 30.135587)
14,Austin,106,Hays,106E327,ANNUAL ACR,1,2023,32018,24930.0,35767.0,28820.0,34725.0,35247.0,30718.0,32578.0,31562.0,20860.0,25936.0,22000.0,22000.0,24000.0,22000.0,24000.0,22000.0,21000.0,23700.0,22000.0,US0290,1,30.206782,-97.9771,490164,POINT (-97.9771 30.206782)
14,Austin,106,Hays,106H1,ANNUAL ACR,1,2023,34325,39180.0,39180.0,18144.0,38039.0,27144.0,21339.0,28236.0,27126.0,17061.0,28521.0,31000.0,31000.0,32000.0,33000.0,23000.0,30000.0,29000.0,27420.0,29000.0,SL0082,1,29.892949,-97.915206,490216,POINT (-97.915206 29.89294899999999)
14,Austin,106,Hays,106H10,ANNUAL ACR,1,2023,6337,5291.0,15051.0,11657.0,14902.0,15594.0,12496.0,12577.0,13362.0,10992.0,10782.0,9600.0,10300.0,10400.0,9300.0,9600.0,8300.0,7900.0,7220.0,6600.0,FM2001,1,30.075619,-97.821637,490217,POINT (-97.82163700000001 30.075618999999993)
14,Austin,106,Hays,106H11,ANNUAL ACR,1,2023,14989,12799.0,12686.0,9588.0,12560.0,12476.0,10620.0,10673.0,9212.0,7400.0,7160.0,6200.0,7000.0,6400.0,6200.0,6300.0,6400.0,6000.0,5070.0,5100.0,FM2001,1,30.048465,-97.803511,490221,POINT (-97.803511 30.048465)
14,Austin,106,Hays,106H12,ANNUAL ACR,1,2023,8242,7158.0,5944.0,4511.0,5885.0,5989.0,5016.0,4981.0,4166.0,3493.0,3161.0,3000.0,3200.0,3300.0,3200.0,3400.0,3300.0,2900.0,2530.0,2700.0,FM2001,1,30.031591,-97.766449,490222,POINT (-97.766449 30.031590999999995)
14,Austin,106,Hays,106H12B,ANNUAL ACR,1,2023,15138,11490.0,12538.0,10270.0,12836.0,11373.0,10529.0,9484.0,9479.0,7766.0,9249.0,7900.0,7500.0,7600.0,7800.0,7600.0,8000.0,7800.0,8010.0,6900.0,SH0021,1,29.95375,-97.792653,490224,POINT (-97.792653 29.95375)
