,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CNTY_NM,TRFC_STATN_ID,AADT_RPT_QTY,AADT_RPT_HIST_05_QTY,LATITUDE,LONGITUDE,5Yr_Growth,Wildfire_Risk,City
0,0,0,0,Hays,106A4501,18661,17391.458325178613,30.132125,-97.861144,0.072998,Minimal Direct Wildfire Impacts,Unknown
1,1,1,1,Hays,106D1,38211,38153.0,30.210039,-97.97049,0.001520195,Minimal Direct Wildfire Impacts,Austin
2,2,2,2,Hays,106D10,1107,844.0,30.104693,-98.268465,0.3116113744075829,Minimal Direct Wildfire Impacts,Unknown
3,3,3,3,Hays,106D11,3409,2265.0,30.16488,-98.245704,0.5050772626931568,Minimal Direct Wildfire Impacts,Blanco
4,4,4,4,Hays,106D11NBSR,5498,5391.0,30.08481869,-97.8205031,0.0198478946392135,Minimal Direct Wildfire Impacts,Buda
5,5,5,5,Hays,106D13,4022,3487.0,30.091688,-98.013969,0.1534270146257527,Minimal Direct Wildfire Impacts,Unknown
6,6,6,6,Hays,106D14NBSR,18543,18966.0,30.00795497,-97.86313676,-0.022303069,Minimal Direct Wildfire Impacts,Kyle
7,7,7,7,Hays,106D15SBSR,6292,5719.0,29.8770525,-97.9062685,0.1001923413184123,Minimal Direct Wildfire Impacts,San Marcos
8,8,8,8,Hays,106D17SBSR,17584,16387.728588496906,30.01008,-97.862877,0.072998,Minimal Direct Wildfire Impacts,Kyle
9,9,9,9,Hays,106D18NBSR,7410,4786.0,29.950038,-97.878592,0.5482657751776013,Minimal Direct Wildfire Impacts,Kyle
10,10,10,10,Hays,106D19SBSR,10385,4707.0,29.95210762,-97.87946025,1.206288506479711,Minimal Direct Wildfire Impacts,Kyle
11,11,11,11,Hays,106D2,17203,12199.0,30.179413,-97.928753,0.4101975571768178,Minimal Direct Wildfire Impacts,Austin
12,12,12,12,Hays,106D20NBSR,9096,7863.0,29.985773,-97.87226,0.156810377718428,Minimal Direct Wildfire Impacts,Kyle
13,13,13,13,Hays,106D21SBSR,6402,5193.0,29.985856,-97.873478,0.2328134026574234,Minimal Direct Wildfire Impacts,Kyle
14,14,14,14,Hays,106D22SBSR,16570,10953.0,30.083214,-97.822397,0.512827536,Minimal Direct Wildfire Impacts,Buda
15,15,15,15,Hays,106D23SBSR,9313,8679.419719328462,29.88496603,-97.92080355,0.072998,Minimal Direct Wildfire Impacts,San Marcos
16,16,16,16,Hays,106D24NBSR,7877,7341.113404,29.88474883,-97.91896435,0.072998,Minimal Direct Wildfire Impacts,San Marcos
17,17,17,17,Hays,106D3,6342,5098.0,30.127634,-98.006039,0.2440172616712436,Minimal Direct Wildfire Impacts,Buda
18,18,18,18,Hays,106D4,30570,20402.0,30.124837,-97.865564,0.4983825115184785,Minimal Direct Wildfire Impacts,Hays
19,19,19,19,Hays,106D6,18410,10970.0,29.816946,-97.943554,0.6782133090246126,Minimal Direct Wildfire Impacts,San Marcos
20,20,20,20,Hays,106D8,5533,5498.0,29.819362,-98.010383,0.006365951,Minimal Direct Wildfire Impacts,San Marcos
21,21,21,21,Hays,106D8A,20774,17525.0,29.862116,-97.964741,0.1853922967189729,Minimal Direct Wildfire Impacts,San Marcos
22,22,22,22,Hays,106D9,6400,5855.0,29.933737,-98.141726,0.093082835,Minimal Direct Wildfire Impacts,Wimberley
23,23,23,23,Hays,106D9A,7718,6839.0,30.004252,-98.082169,0.1285275625091387,Moderate to High,Wimberley
24,24,24,24,Hays,106E256A,12325,9897.0,29.914625,-97.851367,0.2453268667272911,Moderate to High,Unknown
25,25,25,25,Hays,106E258A,126784,109862.0,29.926113,-97.89112,0.1540296007718774,Moderate to High,San Marcos
26,26,26,26,Hays,106E258ANBSR,3070,2630.0,29.925078,-97.890999,0.1673003802281368,Moderate to High,San Marcos
27,27,27,27,Hays,106E258ASBSR,5130,4666.0,29.926938,-97.891216,0.099442778,Moderate to High,San Marcos
28,28,28,28,Hays,106E260A,8503,7706.0,29.998712,-98.087238,0.1034259018946275,Moderate to High,Wimberley
29,29,29,29,Hays,106E264A,5174,4228.0,30.135587,-98.032495,0.2237464522232734,Moderate to High,Unknown
30,30,30,30,Hays,106E327,32018,35247.0,30.206782,-97.9771,-0.091610634,Moderate to High,Dripping Springs
31,31,31,31,Hays,106H1,34325,27144.0,29.892949,-97.915206,0.2645520188623637,Minimal Direct Wildfire Impacts,San Marcos
32,32,32,32,Hays,106H10,6337,15594.0,30.075619,-97.821637,-0.593625753,Minimal Direct Wildfire Impacts,Buda
33,33,33,33,Hays,106H11,14989,12476.0,30.048465,-97.803511,0.2014267393395319,Minimal Direct Wildfire Impacts,Unknown
34,34,34,34,Hays,106H12,8242,5989.0,30.031591,-97.766449,0.3761896810819836,Minimal Direct Wildfire Impacts,Niederwald
